YEAR,SAMPLE ID,SITE,COLLECTION HABITAT,TAXA/SPECIES,TOTAL LENGTH (mm),%C,%N,C:N,d13C,d15N,COLLECTION DATE (m/d/yr),SITE COORDINATES
2015,15201,Burns Harbor,NS,Alewife,117,44.0909751,12.8092569,3.442118106,-24.053,8.001,7/16/15,"41.63496,  -87.19659"
2015,15203,Burns Harbor,NS,Alewife,124,41.1634766,12.7986863,3.2162267,-23.27,8.747,7/16/15,"41.63496,  -87.19659"
2015,15207,Burns Harbor,NS,Alewife,122,43.1382634,13.0105658,3.31563316,-23.727,9.009,7/16/15,"41.63496,  -87.19659"
2015,15186,Burns Harbor,NS,Brown trout,520,56.0700199,11.5609508,4.849948838,-22.928,10.849,7/16/15,"41.63496,  -87.19659"
2015,15187,Burns Harbor,NS,Brown trout,659,56.4631737,9.9170159,5.693564906,-22.927,10.481,7/16/15,"41.63496,  -87.19659"
2015,15180,Burns Harbor,NS,Channel catfish,389,45.6328484,13.1035722,3.482473917,-22.511,10.676,7/16/15,"41.63496,  -87.19659"
2014,30,Burns Harbor,NS,Coho salmon,610,51.4537416,12.584892,4.088532631,-23.315,9.568,9/8/14,"41.63496,  -87.19659"
2014,31,Burns Harbor,NS,Coho salmon,545,51.1667161,12.8629013,3.977851879,-23.368,9.377,9/8/14,"41.63496,  -87.19659"
2014,7,Burns Harbor,NS,Redhorse (Moxostoma spp.),593,50.8404077,12.8158656,3.966989768,-20.042,9.654,9/8/14,"41.63496,  -87.19659"
2015,15184,Burns Harbor,NS,Redhorse (Moxostoma spp.),555,48.7681527,11.2376662,4.339704689,-20.948,10.021,7/16/15,"41.63496,  -87.19659"
2014,44,Burns Harbor,NS,Spottail shiner,110,43.96121,11.9672975,3.67344507,-19.489,8.96,9/8/14,"41.63496,  -87.19659"
2014,45,Burns Harbor,NS,Spottail shiner,116,44.7877793,12.5956049,3.555825993,-18.202,8.793,9/8/14,"41.63496,  -87.19659"
2015,15193,Burns Harbor,NS,Spottail shiner,115,45.6578222,13.9662645,3.269150616,-19.721,8.492,7/16/15,"41.63496,  -87.19659"
2015,15195,Burns Harbor,NS,Spottail shiner,107,45.4778343,14.1644024,3.210713238,-18.821,9.301,7/16/15,"41.63496,  -87.19659"
2015,15196,Burns Harbor,NS,Spottail shiner,122,46.4287296,14.2876215,3.249577237,-19.542,8.777,7/16/15,"41.63496,  -87.19659"
2015,15179,Burns Harbor,NS,Steelhead,681,52.4875765,12.3459582,4.251397555,-23.405,10.835,7/16/15,"41.63496,  -87.19659"
2014,3,Burns Harbor,NS,Yellow perch,230,43.1613989,12.8099046,3.369377076,-18.56,10.763,9/8/14,"41.63496,  -87.19659"
2014,4,Burns Harbor,NS,Yellow perch,257,44.701144,13.8573925,3.225797638,-18.359,10.618,9/8/14,"41.63496,  -87.19659"
2014,5,Burns Harbor,NS,Yellow perch,196,45.8841203,14.493669,3.165804345,-17.869,8.167,9/8/14,"41.63496,  -87.19659"
2014,6,Burns Harbor,NS,Yellow perch,123,44.3528212,13.1528423,3.372109251,-17.729,7.947,9/8/14,"41.63496,  -87.19659"
2014,8,Burns Harbor,NS,Yellow perch,128,44.3986313,12.6730032,3.503402516,-17.568,7.762,9/8/14,"41.63496,  -87.19659"
2014,9,Burns Harbor,NS,Yellow perch,129,43.0114152,12.9171085,3.329802115,-17.161,7.969,9/8/14,"41.63496,  -87.19659"
2014,11,Burns Harbor,NS,Yellow perch,120,42.559419,12.7930625,3.326757686,-17.569,8.804,9/8/14,"41.63496,  -87.19659"
2014,13,Burns Harbor,NS,Yellow perch,109,42.3531933,12.8150127,3.304966939,-17.812,7.575,9/8/14,"41.63496,  -87.19659"
2014,14,Burns Harbor,NS,Yellow perch,112,45.4621353,13.5918221,3.344815358,-17.967,7.048,9/8/14,"41.63496,  -87.19659"
