ID,Species,Collection_date,Port_where_fish_was_landed,StatD,Quadrant,Grid,TL_mm,WT_kg,Fin.clip,Stock_wild,Sex,Mat,d15N_14N,d13C_12C,CN,d13corr
38732,RBT,8/13/15,MCKINLEY MARINA,WM5,Southwest,1901,750,3.65,NONE,Unknown,F,I,11.06383148,-22.60152502,3.11407836,-22.60152502
38797,BNT,8/13/15,MCKINLEY MARINA,WM5,Southwest,1901,521,2.02,NONE,Unknown,M,I,10.64826789,-22.81800059,3.50312066,-22.66991114
52914,BNT,5/1/15,MICHIGAN CITY,IND,Southeast,2707,425,0.65,NONE,Unknown,F,U,9.889624629,-22.5230747,3.27092981,-22.5230747
52914,BNT,5/1/15,MICHIGAN CITY,IND,Southeast,2707,425,0.65,NONE,Unknown,F,U,9.889624629,-22.5230747,3.27092981,-22.5230747
52942,BNT,5/3/15,MICHIGAN CITY,IND,Southeast,2707,427,0.79,NONE,Unknown,F,U,10.02492261,-22.47266301,3.350379827,-22.47266301
52959,BNT,5/3/15,MICHIGAN CITY,IND,Southeast,2707,434,1.13,NONE,Unknown,,,11.03502702,-20.36360615,3.846451225,-19.87561944
52959,BNT,5/3/15,MICHIGAN CITY,IND,Southeast,2707,434,1.13,NONE,Unknown,,,11.03502702,-20.36360615,3.846451225,-19.87561944
52966,BNT,5/14/15,MICHIGAN CITY,IND,Southeast,2707,581,2.72,NONE,Unknown,,,11.06719161,-22.63360711,3.443540903,-22.63360711
52987,BNT,5/15/15,MICHIGAN CITY,IND,Southeast,2707,448,1.1,LPRP,Stock,F,M,10.39285422,-22.78815795,3.458663297,-22.78815795
52990,BNT,5/15/15,MICHIGAN CITY,IND,Southeast,2707,458,1.07,NONE,Unknown,,,10.40511249,-23.01583373,3.711107039,-22.66183776
52995,BNT,5/2/15,MICHIGAN CITY,IND,Southeast,2707,626,3.1,NONE,Unknown,,,10.87070745,-22.73138597,3.461797313,-22.73138597
63546,BNT,4/17/15,MICHIGAN CITY,IND,Southeast,2707,420,0.83,NONE,Unknown,,,10.65721979,-21.99633818,3.301134737,-21.99633818
65109,COS,8/7/15,MICHIGAN CITY,IND,Southeast,2707,572,2,NONE,Unknown,F,M,11.11013287,-20.95850648,4.039507392,-20.27939416
65143,COS,8/4/15,MICHIGAN CITY,IND,Southeast,2707,568,1.62,NONE,Unknown,F,M,10.51259786,-23.19677654,3.238109134,-23.19677654
65144,RBT,8/4/15,MICHIGAN CITY,IND,Southeast,2707,785,4.02,NONE,Unknown,M,M,11.21627099,-23.01574815,3.445426915,-23.01574815
65146,RBT,8/4/15,MICHIGAN CITY,IND,Southeast,2707,658,2.24,NONE,Unknown,F,I,10.53371765,-22.78745125,3.219777043,-22.78745125
65147,COS,8/4/15,MICHIGAN CITY,IND,Southeast,2707,512,1.2,NONE,Unknown,F,M,9.804146839,-23.14936125,3.181561194,-23.14936125
65147,COS,8/4/15,MICHIGAN CITY,IND,Southeast,2707,512,1.2,NONE,Unknown,F,M,9.804146839,-23.14936125,3.181561194,-23.14936125
65148,CHS,8/4/15,MICHIGAN CITY,IND,Southeast,2707,593,1.71,NONE,Wild,M,I,11.1295554,-23.54892393,3.209933849,-23.54892393
65148,CHS,8/4/15,MICHIGAN CITY,IND,Southeast,2707,593,1.71,NONE,Wild,M,I,11.1295554,-23.54892393,3.209933849,-23.54892393
65206,RBT,6/11/15,MICHIGAN CITY,IND,Southeast,2707,604,2.1,NONE,Unknown,,,9.949575442,-22.62068781,3.383476477,-22.62068781
65274,RBT,6/15/15,MICHIGAN CITY,IND,Southeast,2707,752,3.05,NONE,Unknown,,,10.66715635,-22.64262855,3.184395937,-22.64262855
65297,RBT,6/11/15,MICHIGAN CITY,IND,Southeast,2707,655,2.95,NONE,Unknown,,,10.7746753,-23.20281081,3.409601758,-23.20281081
65316,BNT,4/19/15,MICHIGAN CITY,IND,Southeast,2707,652,3.56,NONE,Unknown,F,U,11.50718001,-23.15568184,3.553280229,-22.95793441
65353,BNT,4/17/15,MICHIGAN CITY,IND,Southeast,2707,361,0.37,NONE,Unknown,U,U,10.42577522,-21.72044626,3.112958571,-21.72044626
65362,BNT,4/18/15,MICHIGAN CITY,IND,Southeast,2707,459,1.02,NONE,Unknown,M,U,10.93504547,-22.01210216,3.286244256,-22.01210216
65385,BNT,4/17/15,MICHIGAN CITY,IND,Southeast,2707,634,3.45,NONE,Unknown,M,U,10.73802587,-23.91961362,3.948299291,-23.33079732
65406,BNT,5/2/15,MICHIGAN CITY,IND,Southeast,2707,442,1.22,NONE,Unknown,,,11.09075255,-22.96017786,3.426485842,-22.96017786
65423,BNT,5/2/15,MICHIGAN CITY,IND,Southeast,2707,475,1.34,NONE,Unknown,,,11.01089212,-21.13324725,3.759025599,-20.73181191
65423,BNT,5/2/15,MICHIGAN CITY,IND,Southeast,2707,475,1.34,NONE,Unknown,,,11.01089212,-21.13324725,3.759025599,-20.73181191
65471,BNT,5/2/15,MICHIGAN CITY,IND,Southeast,2707,635,3.46,LPAD,Stock,F,M,11.38782527,-21.7855437,3.794282399,-21.34920412
65473,BNT,5/2/15,MICHIGAN CITY,IND,Southeast,2707,532,2.3,NONE,Unknown,F,M,11.62445905,-21.92637734,3.830345406,-21.45433539
65480,BNT,5/2/15,MICHIGAN CITY,IND,Southeast,2707,625,2.77,NONE,Unknown,,,11.33758701,-22.21545812,3.344495276,-22.21545812
65495,BNT,5/2/15,MICHIGAN CITY,IND,Southeast,2707,430,1.17,NONE,Unknown,,,11.20958164,-22.60605271,3.364105343,-22.60605271
65565,RBT,6/6/15,EAST CHICAGO,IND,Southeast,2704,657,2.64,AD,Stock,F,M,10.45460718,-22.73566047,3.446749494,-22.73566047
65574,RBT,6/6/15,MICHIGAN CITY,IND,Southeast,2707,601,2.03,NONE,Unknown,,,10.1863498,-22.55310202,3.260520613,-22.55310202
65805,CHS,7/24/15,EAST CHICAGO,IND,Southeast,2704,527,1.42,NONE,Wild,,,10.59392404,-22.8581245,3.211482249,-22.8581245
