common_name,sci_name
Alewife,Alosa pseudoharengus
Atlantic salmon,Salmo salar
Freshwater drum,Aplodinotus grunniens
Longnose sucker,Catostomus catostomus
White sucker,Catostomus commersonii
Lake whitefish,Coregonus clupeaformis
Bloater,Coregonus hoyi
Mottled sculpin,Cottus bairdii
Slimy sculpin,Cottus cognatus
Lake chub,Couesius plumbeus
Gizzard shad,Dorosoma cepedianum
Banded killifish,Fundulus diaphanus
Threespine stickleback,Gasterosteus aculeatus
Channel catfish,Ictalurus punctatus
Brook silverside,Labidesthes sicculus
Burbot,Lota lota
Smallmouth bass,Micropterus dolomieu
White perch,Morone americana
Shorthead redhorse,Moxostoma macrolepidotum
Deepwater sculpin,Myoxocephalus thompsonii
Round goby,Neogobius melanostomus
Golden shiner,Notemigonus crysoleucas
Spottail shiner,Notropis hudsonius
Coho salmon,Oncorhynchus kisutch
Rainbow trout,Oncorhynchus mykiss
Chinook salmon,Oncorhynchus tshawytscha
Rainbow smelt,Osmerus mordax
Yellow perch,Perca flavescens
Fathead minnow,Pimephales promelas
Round whitefish,Prosopium cylindraceum
Ninespine stickleback,Pungitius pungitius
Longnose dace,Rhinichthys cataractae
Brown trout,Salmo trutta
Lake trout,Salvelinus namaycush
Walleye,Sander vitreus
amphipod,Amphipoda
chironomids,Chironomidae
crayfish,Cambaridae
hydracarina,Hydrachnidia
isopod,Asellidae
leech,Hirudinea
oligochaete,Oligochaeta
dreissena,Dreissena
cladophora,Cladophora
pom,POM
bythotrephes,Bythotrephes longimanus
hemimysis,Hemimysis anomala
mysis,Mysis diluviana
zooplankton,Zooplankton
zooplankton153,Zooplankton153
zooplankton240,Zooplankton240
zooplankton63,Zooplankton63
