"","MSU_ID","SIF ID","Del15N","Del13C","Wt% N*","Wt% C*","C:N ratio","Comments.x","ID1","ID2","ORGANIZATION","Date","CAP_BASIN","CAP_SITE","Serial/Operation","Region","Depth (m)","Depth class","Species","PRED/PREY","TLin","TLmm","TWg","Size class","Box Number","Box Location","DryStart","DryEnd","Comments.y","QAQC","Source","Stat_district"
"1","19-0001","20200090.001",11.2450364,-24.7383132,13.5821508219178,50.6326657534247,3.72788274974223,NA,"19-0001","1","MSU",2019-08-10,"MI","134",NA,"NEM",NA,NA,"CHS","PREDATOR",32,813,NA,"LARGE",1,"A1",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MM6"
"2","19-0007","20200090.002",10.7746016,-23.613953,14.7177831168831,49.315251948052,3.35072555128777,NA,"19-0007","1","MSU",2019-08-10,"MI","134",NA,"NEM",NA,NA,"RBT","PREDATOR",28,711,NA,"LARGE",1,"A7",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MM6"
"3","19-0008","20200090.003",10.258222,-23.3464885,14.6883173126615,48.2023811369509,3.28168163247671,NA,"19-0008","1","MSU",2019-08-10,"MI","134",NA,"NEM",NA,NA,"RBT","PREDATOR",19.75,502,NA,"SMALL",1,"A8",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MM6"
"4","19-0009","20200090.004",10.9903424,-24.4900254,13.9666266414141,50.476327020202,3.61406718430695,NA,"19-0009","1","MSU",2019-08-10,"MI","134",NA,"NEM",NA,NA,"CHS","PREDATOR",31.5,800,NA,"LARGE",1,"A9",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MM6"
"5","19-0010","20200090.005",10.8734828,-23.7057993,14.5963054521277,50.0047513297872,3.42584988330031,NA,"19-0010","1","MSU",2019-08-10,"MI","134",NA,"NEM",NA,NA,"RBT","PREDATOR",29.75,756,NA,"LARGE",1,"A10",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MM6"
"6","19-0011","20200090.007",10.9064432,-23.9127058,14.5624953374233,49.4187104294479,3.39356060100837,NA,"19-0011","1","MSU",2019-08-10,"MI","134",NA,"NEM",NA,NA,"COS","PREDATOR",26.25,667,NA,"LARGE",1,"B1",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MM6"
"7","19-0012","20200090.008",11.207082,-23.7603015,14.722832201087,48.7952703804348,3.3142584058543,NA,"19-0012","1","MSU",2019-08-10,"MI","134",NA,"NEM",NA,NA,"COS","PREDATOR",14,356,NA,"SMALL",1,"B2",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MM6"
"8","19-0013","20200090.009",10.6797156,-24.7877689,13.4259867605634,51.2496352112676,3.81719691261762,NA,"19-0013","1","MSU",2019-08-10,"MI","134",NA,"NEM",NA,NA,"COS","PREDATOR",24,610,NA,"LARGE",1,"B3",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MM6"
"9","19-0021","20200090.010",12.6433564,-22.5713461,14.2242256445047,48.9981465400271,3.44469693919378,NA,"19-0021","1","MSU",2019-08-24,"HU","223",NA,"NH",NA,NA,"LAT","PREDATOR",21.5,546,NA,"SMALL",1,"C1",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MH1"
"10","19-0023","20200090.011",11.6944964,-24.4254302,14.0788374837873,49.7973826199741,3.53703796050768,NA,"19-0023","1","MSU",2019-08-24,"HU","223",NA,"NH",NA,NA,"CHS","PREDATOR",37,940,NA,"LARGE",1,"C3",2019-12-18 12:00:00,2019-12-20 12:00:00,NA,NA,"Predator","MH1"
"11","19-0025","20210016.001",6.7854098,-28.9662624,11.1789114503817,50.0926371501272,4.48099418019962,NA,"19-0025","1","MDNR",2019-09-18,"HU","240","125","SH",58,"DEEP","DRE","PREY",NA,NA,NA,NA,1,"C5",2019-12-18 15:45:00,2019-12-20 15:45:00,"5 pooled mussels",NA,"Prey",NA
"12","19-0027","20210016.002",11.4512604,-27.3713808,11.7863654285714,48.7742774285714,4.13819491039513,NA,"19-0027","1","MDNR",2019-09-16,"HU","224","110","NH",129,"DEEP","DRE","PREY",NA,NA,NA,NA,1,"C7",2019-12-18 15:45:00,2019-12-20 15:45:00,"5 pooled mussels",NA,"Prey","MH2"
"13","19-0027","20210016.002",10.0944295,-27.1321896,9.91427452229299,45.8976394904459,4.6294501314485,NA,"19-0027","1","MDNR",2019-09-16,"HU","224","110","NH",129,"DEEP","DRE","PREY",NA,NA,NA,NA,1,"C7",2019-12-18 15:45:00,2019-12-20 15:45:00,"5 pooled mussels",NA,"Prey","MH2"
"14","19-0028","20210016.003",8.3658114,-28.117536,11.2471164690382,47.3943036890646,4.21390707738598,NA,"19-0028","1","MDNR",2019-09-07,"MI","210","80","NH",50,"DEEP","DRE","PREY",NA,NA,NA,NA,1,"C8",2019-12-18 15:45:00,2019-12-20 15:45:00,"5 pooled mussels",NA,"Prey",NA
