spp_code,common_name,taxon_group
AIP,Alewife,Alewife plankton
ALE,Alewife,Alewife
ALEl,Alewife,Alewife_lg
ALEs,Alewife,Alewife_sm
ALG,Algae,Algae
AMP,Amphipod,Amphipod
BIP,Bloater,Bloater plankton
BLO,Bloater,Bloater
BLOl,Bloater,Bloater_lg
BLOs,Bloater,Bloater_sm
BUT,Burbot,Burbot
BYT,Bythotrephes,Bythotrephes
CHR,Chironomids,Chironomids
CRA,Crayfish,Crayfish
DIP,Deep water sculpin,Deep water sculpin plankton
DWS,Deep water sculpin,Deep water sculpin
HA,Hemimysis,Hemimysis adult
HJ,Hemimysis,Hemimysis juvenile
LAT,Lake trout,Lake trout
LWF,Lake whitefish,Lake whitefish
MUS,Dreissenids,Dreissenids
MUSl,Dreissenids,Dreissenids_lg
MUSm,Dreissenids,Dreissenids_med
MUSs,Dreissenids,Dreissenids_sm
MYS,Mysis,Mysis
OLG,Oligochaete,Oligochaete
POM,POM,POM
RAS,Rainbow Smelt,Rainbow smelt
ROG,Round goby,Round goby
SMS,Slimy sculpin,Slimy sculpin
SMSl,Slimy sculpin,Slimy sculpin_lg
SMSs,Slimy sculpin,Slimy sculpin_sm
SPS,Spottail shiner,Spottail shiner
WHS,White sucker,White sucker
YEP,Yellow perch,Yellow perch
ZOP,Zooplankton,Zooplankton
ZOP153,Zooplankton,Zooplankton153u
ZOP63,Zooplankton,Zooplankton163u
CHS,Chinook salmon,Chinook salmon
RBT,Rainbow trout,Rainbow trout
COS,Coho salmon,Coho salmon
WAE,Walleye,Walleye
PKS,PKS,PKS
ATS,Atlantic salmon,Atlantic salmon
BNT,Brown trout,Brown trout
NSB,Ninespine stickleback,Ninespine stickleback
GZS,Gizzed shad,Gizzed shad
STS,Brook stickleback,Brook stickleback
INV,Invertebrate,Invertebrate
