ID,dataset,sample_id,date,year,season,basin,lake_region,port,depth_m,depth_g,compartment,sci_name,species,species_group,length_mm,mass_g,d15n,d13c,d13c_norm,cn,trophic
1,csmi_2015,63-562,NA,2015,fall,north,nw,arcadia,18,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,1.5525111387309254,-24.15021380120623,-22.026750121434745,6.335393247233221,consumer
2,csmi_2015,153-5705,NA,2015,fall,north,nw,sturgeon bay,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,3.7148007845290216,-26.36407912396037,-24.44572753466586,6.038823182469738,consumer
3,csmi_2015,5174,NA,2015,spring,south,sw,waukegan,18,ns,pom,POM,pom,pom,NA,NA,6.2858355889044875,-24.002066170683765,-24.002066170683765,4.6006272665471695,b1
4,csmi_2015,8-mus-1-4,NA,2015,spring,south,sw,waukegan,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.61096041098266,-26.431802986261417,-26.431802986261417,0.43824798777024604,consumer
5,csmi_2015,8-mus-1-5,NA,2015,spring,south,sw,waukegan,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.28695781650988,-21.538576275260283,-21.538576275260283,0.5957483168290586,consumer
6,csmi_2015,8-mus-1-6,NA,2015,spring,south,sw,waukegan,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.705709596605484,-27.356106915317277,-27.356106915317277,0.4463120624102481,consumer
7,csmi_2015,5-mus-1-10,NA,2015,spring,south,sw,racine,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,11.159010223085513,-27.175623373888914,-27.175623373888914,0.42558687261039807,consumer
12,csmi_2015,63-5474,NA,2015,summer,north,nw,manitowoc,18,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,3.3689532371173803,-24.04961209033106,-21.205464524722395,7.656576923447337,consumer
13,csmi_2015,1-mys-1-0,NA,2015,spring,north,nw,arcadia,0,ns,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,9.724638678147484,-25.58844794723127,-25.592983829779183,4.196978253902247,consumer
14,csmi_2015,1-smsl-1-0,NA,2015,spring,north,nw,arcadia,0,ns,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,88.21392447674289,8.371418055890524,12.194306176167316,-23.115815485929197,-22.402735317152825,3.931279620853081,consumer
15,csmi_2015,1-smsl-1-0,NA,2015,spring,north,nw,arcadia,0,ns,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,93.05504083941278,9.863510368935083,12.45541047760966,-24.30275725438157,-23.46226272661505,4.019785847299814,consumer
16,csmi_2015,1-smss-1-0,NA,2015,spring,north,nw,arcadia,0,ns,fishes,Cottus cognatus,slimy sculpin,slimy sculpin sm,30.99397446544119,0.3374591604233146,11.480286336453826,-23.779732529768914,-22.77606736069821,4.139121923937361,consumer
17,csmi_2015,arc02a,NA,2015,spring,north,nw,arcadia,2,ns,benthic inverts,Amphipoda,amphipod,amphipod,NA,0.005,4.713982786316093,-19.25822579638175,-17.76170434510115,4.59229246892239,consumer
18,csmi_2015,arc04a,NA,2015,spring,north,nw,arcadia,2,ns,benthic inverts,Amphipoda,amphipod,amphipod,NA,0.005,4.886265310540094,-22.627824828757227,-21.020106609408238,6.135531901932586,consumer
19,csmi_2015,arc05a,NA,2015,spring,north,nw,arcadia,2,ns,benthic inverts,Amphipoda,amphipod,amphipod,NA,0.005,5.869844632825174,-22.45182275071595,-20.849912599942325,4.868548143462427,consumer
20,csmi_2015,arc02ha,NA,2015,spring,north,nw,arcadia,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,8.063965741430383,-22.20923288842055,-21.965902814825554,4.368737329508988,consumer
21,csmi_2015,arc09ha,NA,2015,spring,north,nw,arcadia,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,8.692697635372982,-20.849946087541657,-21.567554466416432,3.770515333921025,consumer
22,csmi_2015,arc04ha,NA,2015,spring,north,nw,arcadia,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,7.173240003950005,-23.016490679495462,-22.100150544530663,4.914872161937183,consumer
23,csmi_2015,1-rog-1-20,NA,2015,spring,north,nw,arcadia,2,ns,fishes,Neogobius melanostomus,round goby,round goby lg,83.85405027149221,5.386874937905449,8.156381142209248,-22.166634198842488,-20.95954973017764,4.2981981981981985,consumer
24,csmi_2015,arc07-z,NA,2015,spring,north,nw,arcadia,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,9.286429505651123,-25.758222753349077,-25.091464064898314,4.697118148613989,consumer
25,csmi_2015,1-mys-1-1,NA,2015,spring,north,nw,arcadia,18,ns,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,7.935178677956382,-24.108687637246547,-23.54498431005112,4.612732135254653,consumer
26,csmi_2015,5000,NA,2015,spring,north,nw,arcadia,18,ns,pom,POM,pom,pom,NA,NA,1.774064373871603,-26.451744829768778,-26.451744829768778,8.44359216222117,b1
27,csmi_2015,1-smss-1-1,NA,2015,spring,north,nw,arcadia,18,ns,fishes,Cottus cognatus,slimy sculpin,slimy sculpin sm,25,0.17445194932823968,9.148092665444384,-20.882242340211985,-19.97233566397365,4.069699499165275,consumer
28,csmi_2015,153-5000,NA,2015,spring,north,nw,arcadia,18,ns,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,7.212387126091938,-29.222719306108797,-26.788573161843438,6.844542237609168,consumer
29,csmi_2015,cmu-1-dws-1-4,NA,2015,spring,north,nw,arcadia,46,NA,fishes,Myoxocephalus thompsonii,deepwater sculpin,deepwater sculpin,38,0.630863849421896,12.414666666666667,-25.840333333333334,-24.735505291005293,4.216733067729083,consumer
30,csmi_2015,1-mus-1-4,NA,2015,spring,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,7.941411848435947,-26.577544383767645,-24.839485419103312,4.602005799045486,consumer
31,csmi_2015,1-mus-1-5,NA,2015,spring,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,7.717876769598226,-27.23721555150453,-25.47738743830488,4.539103919918232,consumer
32,csmi_2015,1-mus-1-6,NA,2015,spring,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,7.1801365549170075,-26.09611779615879,-24.37394590888555,3.8351595995027092,consumer
33,csmi_2015,1-mus-1-4,NA,2015,spring,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,7.789024790397716,-26.793870417217573,-25.04867269344939,4.638438843955047,consumer
34,csmi_2015,5015,NA,2015,spring,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.719017530489583,-25.76648425483263,-24.05519027442315,3.616133140647409,consumer
35,csmi_2015,5015,NA,2015,spring,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,5.750768820451618,-25.6717408036157,-23.963573357096383,3.5787017291890844,consumer
36,csmi_2015,5015,NA,2015,spring,north,nw,arcadia,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,5.587733071051137,-26.091577779130937,-24.369555712419615,3.5571449423716404,consumer
37,csmi_2015,1-mys-1-4,NA,2015,spring,north,nw,arcadia,46,NA,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,8.693158237300036,-26.227117619010517,-25.20495722582723,5.013414952175695,consumer
38,csmi_2015,5008,NA,2015,spring,north,nw,arcadia,46,NA,pom,POM,pom,pom,NA,NA,2.2401127316663603,-27.636599366784953,-27.636599366784953,8.030923651615794,b1
39,csmi_2015,5015,NA,2015,spring,north,nw,arcadia,46,NA,pom,POM,pom,pom,NA,NA,2.3121503446184732,-28.29494482976878,-28.29494482976878,8.050034900422723,b1
40,csmi_2015,cmu-1-rog-1-5,NA,2015,spring,north,nw,arcadia,46,NA,fishes,Neogobius melanostomus,round goby,round goby lg,79.92786312965794,4.667320503501786,9.919833333333333,-24.575,-23.922958115183246,3.8902467411545625,consumer
41,csmi_2015,cmu-1-rog-1-4,NA,2015,spring,north,nw,arcadia,46,NA,fishes,Neogobius melanostomus,round goby,round goby lg,84.6590873065587,5.542988920744683,9.302666666666667,-21.956333333333333,-21.317136657433057,3.8817204301075265,consumer
42,csmi_2015,1-rog-1-6,NA,2015,spring,north,nw,arcadia,46,NA,fishes,Neogobius melanostomus,round goby,round goby sm,45.16019878753531,0.8466813164643445,9.306930696973547,-22.61450937866875,-21.876628745294816,3.9482000549601537,consumer
43,csmi_2015,153-5008,NA,2015,spring,north,nw,arcadia,46,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,8.794122063890084,-30.566847911972964,-28.399282454855655,6.403005232247943,consumer
44,csmi_2015,153-5012,NA,2015,spring,north,nw,arcadia,46,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,10.03972505401279,-30.83629860850017,-29.213184034284684,5.657611335552768,consumer
45,csmi_2015,63-5008,NA,2015,spring,north,nw,arcadia,46,NA,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,6.740998053503869,-27.204625801700974,-24.66674223425618,7.03327514561492,consumer
46,csmi_2015,cmu-1-alel-1-10,NA,2015,spring,north,nw,arcadia,110,NA,fishes,Alosa pseudoharengus,alewife,alewife lg,131.78296438714813,20.098960459295984,9.11157142857143,-24.38657142857143,-23.86588596923255,3.8047839506172845,consumer
