rowname,elpd_diff,elpd,p_loo,looic,r2_loo,r2_marg,r2_cond
models_sub[[1]],0 (0),-70.72 (7.37),6.06 (0.88),141.43 (14.74),0.77,0.78 (0.01),0.78 (0.01)
models_sub[[2]],-0.58 (1.47),-71.3 (7.64),5.57 (0.81),142.59 (15.27),0.76,0.78 (0.02),0.78 (0.02)
models_sub[[3]],-1.37 (1.48),-72.08 (6.97),8.13 (1.01),144.17 (13.93),0.76,0.57 (0.22),0.79 (0.02)
models_sub[[4]],-1.75 (1.9),-72.46 (7.37),7.79 (1.07),144.92 (14.73),0.76,0.68 (0.18),0.78 (0.02)
models_sub[[5]],-90.86 (9.43),-161.58 (7.26),4 (0.51),323.16 (14.53),-0.02,0 (0),0.02 (0.02)
models_sub[[1]],0 (0),-139.5 (7.68),5.53 (0.72),279.01 (15.36),0.29,0.33 (0.06),0.34 (0.06)
models_sub[[3]],-1.01 (1.12),-140.52 (7.89),8.37 (1.07),281.04 (15.78),0.28,0.33 (0.13),0.36 (0.06)
models_sub[[2]],-8.01 (4),-147.51 (6.59),4.42 (0.5),295.02 (13.18),0.18,0.23 (0.06),0.24 (0.06)
models_sub[[4]],-8.73 (4.01),-148.23 (6.68),6.09 (0.71),296.46 (13.37),0.17,0.22 (0.12),0.25 (0.06)
models_sub[[5]],-22.08 (7.15),-161.58 (7.26),4 (0.51),323.16 (14.53),-0.02,0 (0),0.02 (0.02)
models_sub[[1]],0 (0),-32.36 (1.37),0.22 (0.05),64.72 (2.74),0.14,0.12 (0.08),0.17 (0.09)
models_sub[[3]],-0.3 (0.04),-32.66 (1.39),0.24 (0.05),65.32 (2.78),0.14,0.13 (0.1),0.18 (0.09)
models_sub[[2]],-0.87 (0.25),-33.23 (1.41),0.18 (0.05),66.46 (2.83),0.05,0.04 (0.05),0.11 (0.08)
models_sub[[4]],-1.01 (0.25),-33.36 (1.43),0.19 (0.05),66.73 (2.85),0.05,0.04 (0.06),0.11 (0.07)
models_sub[[5]],-1.12 (0.33),-33.48 (1.4),0.14 (0.03),66.96 (2.8),0.03,0 (0),0.05 (0.06)
models_sub[[1]],0 (0),-373.87 (5.11),4.7 (0.41),747.73 (10.23),0.13,0.19 (0.06),0.2 (0.06)
models_sub[[3]],-0.29 (0.76),-374.16 (5.14),6.38 (0.57),748.32 (10.27),0.13,0.2 (0.1),0.21 (0.06)
models_sub[[2]],-9.87 (4.3),-383.74 (4.12),3.96 (0.27),767.48 (8.24),-0.03,0.02 (0.02),0.04 (0.03)
models_sub[[4]],-10.13 (4.28),-384 (4.08),4.86 (0.37),767.99 (8.16),-0.03,0.02 (0.03),0.05 (0.03)
models_sub[[5]],-10.21 (4.45),-384.08 (4.4),2.98 (0.2),768.15 (8.81),-0.03,0 (0),0.01 (0.01)
